Roll No,student_name,gender,dob,class_teacher,maths,english,kiswahili,physics,chemistry,biology,geography,history,agriculture,computer,attendance (%),average,grade
3893,Louis Morris,female,3/20/2003,Mr. Brown,63,75,92,31,95,90,93,61,8,0,50,60.31,B
3894,Amanda Martinez,female,11/26/2004,Mr. Smith,55,11,3,82,53,65,68,88,68,67,50,49.92,C-
3895,Shawna Daniel,male,12/30/1992,Mr. Smith,21,40,0,20,52,15,8,39,66,50,45,32,D-
3896,Meghan Douglas,male,4/27/1999,Mr. Smith,10,88,11,6,82,86,29,26,18,86,70,41.85,D+
3897,Karl Robertson,male,9/23/1995,Ms. Johnson,91,86,43,17,9,17,65,35,48,71,35,48.69,C-
3898,Christy Golden,male,4/21/1995,Mrs. Davis,2,18,51,89,88,95,17,0,33,69,50,43.92,D+
3899,Philip Mack,female,04-02-10,Mr. Smith,9,28,36,90,29,5,23,75,11,1,75,38.31,D
3900,Donald Young,male,11/29/2001,Mr. Smith,18,94,71,30,54,19,1,12,31,88,10,41.62,D+
3901,Karla Wright,female,07-10-05,Mrs. Davis,82,58,83,84,54,61,84,91,22,3,80,56,B-
3902,Susan Bond,female,11/28/1996,Mrs. Davis,25,2,96,79,55,71,97,49,63,75,0,52.38,C
3903,Gloria Dillon,male,08-09-97,Ms. Johnson,89,19,61,6,56,53,66,64,98,16,75,47.54,C-
3904,Jeffrey Stein,female,02-12-00,Ms. Johnson,65,31,90,1,76,46,91,99,53,43,0,60.77,B
3905,Dennis Brown,female,2/25/1994,Mr. Smith,12,70,67,89,7,87,60,61,0,41,85,51.46,C
3906,Allison Stephens,female,9/13/1990,Mr. Brown,79,78,52,99,2,61,31,92,3,54,10,49.85,C-
3907,Jaclyn Stewart,male,06-02-05,Mr. Brown,82,64,45,70,92,88,62,90,24,46,10,57.08,B-
3908,Ms. Tammy Pierce MD,male,01-08-09,Mr. Smith,66,22,29,62,40,35,82,50,24,29,25,47.15,C-
3909,Leslie Brooks,male,5/18/2006,Mr. Smith,80,55,55,1,13,45,60,36,89,22,40,42.69,D+
3910,Nicole Matthews,female,8/19/1997,Mrs. Davis,8,76,81,62,79,24,94,89,92,16,5,54.46,C
3911,William Bell,male,11/13/2000,Mr. Smith,60,32,57,82,67,58,85,54,92,43,100,65.46,B
3912,Christine Jensen,male,9/17/2008,Mr. Smith,29,40,63,45,43,42,93,73,99,40,90,49.46,C-
3913,Sonya Carroll,female,04-10-98,Ms. Johnson,68,53,62,45,0,48,79,97,78,72,65,60.77,B
3914,Lisa Cantrell,male,3/29/1990,Mr. Brown,39,90,36,84,82,47,68,31,100,19,10,50.31,C
3915,Maria Chavez,female,12/25/2009,Mr. Brown,68,98,52,41,35,59,26,31,72,21,60,44.85,D+
3916,Manuel White,female,9/21/2010,Ms. Johnson,72,84,92,71,1,79,70,23,59,48,55,55.15,B-
3917,April Wilkins,female,11/26/1993,Mrs. Davis,54,8,2,26,67,60,50,72,43,71,40,50.31,C
3918,Stephanie Holmes,female,1/29/2005,Mr. Brown,45,10,28,60,61,94,20,87,14,47,100,46.54,C-
3919,James Roy,female,07-02-92,Ms. Johnson,5,14,81,30,29,48,47,82,11,94,50,42.92,D+
3920,Michael Green,female,09-07-96,Mrs. Davis,6,14,63,48,1,69,92,33,47,12,100,48.92,C-
3921,Elizabeth Williams,female,05-07-94,Mr. Smith,91,55,98,8,14,56,92,70,97,80,80,58.85,B-
3922,Jerry Sloan,male,05-09-10,Mr. Brown,49,85,11,56,84,14,16,35,36,4,0,43.46,D+
3923,Mrs. Katie Mccullough,male,5/18/2000,Mrs. Davis,48,55,63,80,0,7,26,34,15,9,100,28.54,E
3924,Carla Holt,female,3/20/2006,Mr. Brown,28,61,77,41,6,74,20,30,81,41,90,49.15,C-
3925,Ashlee Garcia,male,6/29/2001,Ms. Johnson,93,64,85,76,23,69,97,25,86,16,60,59.15,B-
3926,Stephanie Koch,female,10-12-93,Mrs. Davis,66,97,99,93,48,98,89,42,25,54,95,64.08,B
3927,Cynthia Kane,female,5/27/1995,Ms. Johnson,96,4,34,17,53,46,21,38,76,59,55,46.46,C-
3928,Pamela Crawford,male,1/15/2009,Mr. Smith,62,43,24,35,99,69,44,1,39,36,35,47.62,C-
3929,Austin Hayes,female,4/13/1995,Ms. Johnson,93,24,93,97,28,10,93,22,43,51,70,54.77,C
3930,Heather Lewis,female,08-06-94,Ms. Johnson,95,48,2,25,45,51,12,41,77,15,45,39.92,D
3931,Alan Hansen,female,04-09-04,Mrs. Davis,9,43,88,5,73,76,33,100,8,17,10,46.46,C-
3932,Amber Townsend,male,09-06-08,Mr. Brown,34,97,21,14,55,64,0,40,96,54,45,49.38,C-
3933,Pamela Cannon,male,5/16/2009,Ms. Johnson,83,95,37,5,48,78,19,74,98,66,15,55.46,B-
3934,Brandon Lewis,male,11-04-93,Mr. Smith,48,43,51,35,93,95,49,92,12,45,70,55.23,B-
3935,Bruce Pennington,male,11-06-97,Mrs. Davis,20,21,2,22,17,40,2,95,36,81,90,36.46,D
3936,Michael Ramirez,male,4/15/2007,Mrs. Davis,80,65,87,62,54,7,26,48,36,33,100,51.54,C
3937,Terry Mcdonald,male,08-11-96,Mr. Smith,38,98,82,37,6,16,44,96,2,11,60,39.15,D
3938,John Ward,male,4/14/2001,Ms. Johnson,31,5,37,51,73,19,49,23,21,3,35,33.85,D-
3939,Christopher Ward,male,3/15/1991,Mrs. Davis,3,16,57,79,9,14,67,16,7,37,20,39.31,D
3940,Jesse Perkins,male,4/14/2001,Mr. Brown,45,73,82,1,99,99,97,100,71,65,60,68,B
3941,Amy Anderson,female,02-06-04,Mr. Brown,26,33,80,38,99,99,26,29,53,22,35,48.46,C-
3942,Manuel Moore,female,2/26/2006,Mrs. Davis,48,35,67,47,71,86,32,63,9,7,15,46.69,C-
3943,Randall Nelson,female,1/23/1999,Ms. Johnson,78,21,69,56,87,94,8,29,92,23,5,55.31,B-
3944,Kathy Drake,female,10/29/2010,Mr. Brown,9,13,64,36,30,30,3,46,76,69,60,36.54,D
3945,Monica Jackson,male,11/30/2003,Mr. Brown,28,59,57,90,15,14,7,53,23,15,55,36.85,D
3946,Carol Werner,male,05-09-97,Mr. Brown,46,59,38,98,10,71,58,23,7,24,90,41.46,D+
3947,Gerald Johnson,male,6/16/1998,Mr. Smith,55,37,49,0,86,62,25,74,44,36,75,51.54,C
3948,Jonathan Martinez,female,10/23/1993,Mr. Brown,61,77,95,33,92,18,23,48,18,53,100,49.46,C-
3949,Michele Cantrell,female,05-06-95,Mrs. Davis,45,57,57,97,13,7,85,96,94,50,65,58.92,B-
3950,Bruce Francis,female,10-08-98,Mr. Brown,63,20,10,4,44,86,55,5,93,63,95,51.69,C
3951,Kimberly Sanders,male,10/28/1995,Mr. Brown,65,10,84,54,14,95,12,3,76,12,20,47.38,C-
3952,Ricky Swanson,male,5/21/2008,Mrs. Davis,71,36,12,34,30,70,64,38,60,10,90,47.62,C-
3953,Anthony Yates,female,5/22/2008,Mrs. Davis,88,22,99,84,82,63,98,4,1,23,45,51.85,C
3954,Neil West,female,11-02-06,Mr. Brown,33,87,61,39,21,83,20,78,37,31,60,53.38,C
3955,Emma Serrano,female,2/21/1992,Mr. Smith,0,22,10,97,89,84,2,43,48,44,5,48.92,C-
3956,Laura Olson,male,11/23/2009,Mr. Brown,27,94,29,79,92,72,34,98,47,1,50,58,B-
3957,James Lee,female,07-06-92,Mr. Brown,96,15,18,100,94,74,78,68,59,62,25,60.85,B
3958,Micheal Anderson,female,11/18/2004,Ms. Johnson,61,93,53,54,18,90,54,39,26,66,20,52.38,C
3959,Lisa French,male,09-04-08,Mr. Brown,6,1,52,99,2,48,81,34,86,59,90,44.69,D+
3960,Christina Moreno,female,6/16/2007,Mrs. Davis,20,75,68,51,24,23,76,57,64,85,25,53.77,C
3961,John Ross,male,6/17/2005,Ms. Johnson,89,4,16,39,7,67,84,93,77,26,75,45.92,C-
3962,Katherine Montoya,female,7/30/2000,Mr. Brown,99,61,63,83,19,50,10,54,59,99,85,57.54,B-
3963,Peter Golden,female,1/30/1998,Ms. Johnson,36,91,38,34,6,99,88,83,1,91,55,54.46,C
3964,Dawn Reeves,female,6/27/2004,Mr. Brown,51,15,66,30,43,90,74,15,79,48,75,57.23,B-
3965,David Bailey,male,7/20/2010,Mr. Brown,58,60,57,80,6,65,11,92,68,72,90,53.92,C
3966,Robin Vega,male,05-01-07,Ms. Johnson,54,33,97,43,75,92,12,15,63,93,50,59.38,B-
3967,Lori Dodson,female,1/29/2002,Mr. Smith,85,37,43,43,20,37,5,84,8,39,60,39.15,D
3968,Eric Snyder,female,04-02-06,Ms. Johnson,44,17,40,60,15,32,93,23,89,93,70,54.85,C
3969,Heidi Foster,female,2/26/2002,Mr. Smith,100,59,54,30,21,65,49,13,30,59,95,49.92,C-
3970,Nicole Lamb,female,9/23/2010,Mr. Smith,40,20,18,35,7,77,14,80,12,48,50,39.85,D
3971,Collin Fuentes,female,6/21/2005,Mrs. Davis,93,39,41,58,36,67,37,72,99,40,70,49.15,C-
3972,Teresa Jones,female,01-10-04,Mr. Smith,29,87,72,40,9,68,40,100,52,76,50,56.92,B-
3973,Jeffrey Becker,female,8/24/1998,Mr. Smith,98,37,3,13,85,24,49,20,88,45,100,49.77,C-
3974,Steven White,female,03-07-07,Mr. Brown,35,24,94,42,93,46,87,42,20,65,95,62.62,B
3975,James Newton,male,12-02-90,Mrs. Davis,0,77,29,57,13,58,86,22,75,38,35,47.92,C-
3976,Elizabeth Navarro,female,3/31/1995,Mr. Brown,43,61,44,50,7,2,74,63,78,2,50,34.08,D-
3977,Randy Lee,female,3/30/2009,Ms. Johnson,51,69,67,87,11,87,76,99,1,99,20,66.77,B
3978,Brandy Richard,female,1/29/1997,Mr. Brown,78,50,57,69,6,11,52,45,35,86,20,43.85,D+
3979,Kelly Leonard,female,6/29/1999,Ms. Johnson,31,41,42,59,49,93,40,61,58,10,70,47.15,C-
3980,Joseph Scott,male,12/15/2008,Mr. Smith,68,73,10,8,47,47,3,33,46,38,60,41.31,D+
3981,Sharon Rodriguez,male,11-06-01,Mr. Brown,6,78,73,48,99,51,95,49,60,34,35,51.46,C
3982,Amber Rodriguez,female,2/27/2000,Mr. Brown,8,6,74,19,22,12,85,90,95,24,35,44.54,D+
3983,Mary Chavez,male,07-02-04,Ms. Johnson,48,61,86,22,43,20,89,28,78,56,40,49.77,C-
3984,Barry Johnson,female,3/21/2004,Ms. Johnson,89,48,45,100,58,33,35,97,91,78,0,59,B-
3985,Patricia Thomas,female,8/15/2008,Mrs. Davis,77,28,100,88,32,22,12,34,42,71,45,44.23,D+
3986,Christopher Norris,female,10-12-06,Mr. Brown,7,0,9,62,3,19,35,62,79,13,85,34.62,D-
3987,Veronica Coleman,female,8/21/1998,Mr. Smith,1,12,65,58,33,50,80,75,76,66,15,54,C
3988,Matthew Stevens,female,12-10-05,Ms. Johnson,44,79,1,14,2,56,65,48,33,93,45,41.46,D+
3989,Marc Kim,female,7/23/1998,Mr. Smith,34,47,58,48,30,57,12,54,2,66,80,33.31,D-
3990,Aaron Fleming,female,02-05-04,Mrs. Davis,59,40,42,0,72,37,2,69,22,1,100,40.77,D+
3991,David Armstrong,male,12/22/2007,Ms. Johnson,73,83,6,30,85,51,2,32,76,31,15,51.85,C
3992,Sherri Murphy,female,08-05-04,Mrs. Davis,4,0,56,76,69,11,22,35,35,75,65,44.31,D+
3993,Joseph Morales,male,04-02-06,Mrs. Davis,17,61,48,84,13,98,63,88,89,33,80,52.38,C
3994,Mark Johnson,female,1/13/2005,Mr. Smith,6,44,67,14,60,53,59,16,34,29,55,39.69,D
3995,Scott Flores,female,12/26/2006,Ms. Johnson,19,79,80,65,78,49,58,67,34,39,100,49.23,C-
3996,Melissa Caldwell,female,6/25/2004,Ms. Johnson,65,60,25,79,73,69,87,57,48,61,60,59,B-
3997,Leslie Francis,male,11/18/2001,Mrs. Davis,92,8,2,88,46,85,25,2,33,35,5,46.46,C-
3998,Samantha Wilson,male,11/20/1993,Ms. Johnson,54,16,42,17,36,40,36,48,86,9,40,39.54,D
3999,Aaron Sanders,female,5/31/2006,Mrs. Davis,9,14,56,41,49,100,25,83,82,74,80,50,C
4000,Michael Jones,male,6/24/2002,Ms. Johnson,84,50,29,82,8,6,28,54,59,97,15,45.54,C-
4001,Denise Nelson,male,11/23/1999,Mr. Smith,8,96,8,38,68,23,6,56,22,53,25,34.15,D-
4002,James Bailey,female,08-07-96,Mrs. Davis,45,93,75,9,77,34,38,88,86,87,90,61.77,B
4003,Justin Webb,male,10/28/2003,Mrs. Davis,92,23,82,12,99,66,31,4,36,41,75,49.31,C-
4004,Miss Victoria James,female,3/25/1997,Mr. Smith,69,21,95,79,64,24,76,10,53,99,100,56.31,B-
4005,Diana Logan,male,3/24/2000,Mrs. Davis,99,31,92,63,25,27,54,61,65,22,75,50.31,C
4006,Ashley Rubio,male,9/20/2006,Mrs. Davis,93,38,83,95,44,68,27,34,91,56,75,61.23,B
4007,Kenneth Johnson,female,9/17/2008,Mrs. Davis,60,87,90,15,54,37,75,96,60,14,85,58.92,B-
4008,Brittany Lewis,female,9/29/2009,Mrs. Davis,25,55,3,11,15,98,86,98,70,13,75,48.54,C-
4009,Linda Thompson,male,9/16/2010,Mrs. Davis,13,81,31,29,23,68,62,8,5,83,5,38.23,D
4010,Anthony Simpson,female,08-11-01,Ms. Johnson,12,46,11,10,8,51,55,91,26,3,10,35.85,D
4011,Mr. Robert Cruz Jr.,male,01-12-09,Mr. Smith,74,63,75,4,44,63,55,92,8,44,90,52.54,C
4012,John Sharp,female,11/24/1992,Mr. Brown,60,83,97,81,87,68,31,87,32,30,55,66.08,B
4013,Christopher Gutierrez,male,11/27/1992,Mr. Smith,49,82,57,73,6,37,72,12,49,95,65,51.08,C
4014,Mr. Willie Farmer,male,6/29/2003,Mr. Smith,12,71,65,84,14,18,45,28,49,23,55,38.15,D
4015,Andre Bush,female,11/28/2004,Mr. Brown,84,84,49,29,32,98,65,74,68,87,25,59.77,B-
4016,Mr. Kurt Jackson MD,male,11/14/2009,Mr. Brown,5,72,50,73,30,79,29,99,70,87,30,58.38,B-
4017,Thomas Williams,female,3/29/2003,Mr. Brown,96,54,52,82,11,75,99,48,14,24,85,56.54,B-
4018,Deborah Pineda,male,12/23/1998,Ms. Johnson,68,19,67,48,85,6,34,79,66,4,25,47.54,C-
4019,Eric Herrera,male,08-10-99,Mrs. Davis,27,11,80,48,74,28,39,39,82,38,35,50.92,C
4020,Adam Johnson,female,11-10-95,Ms. Johnson,98,70,62,64,81,19,28,88,62,81,85,58.85,B-
4021,Stephen Gutierrez,male,11-12-98,Mr. Smith,12,55,55,66,23,0,65,77,18,85,80,48.46,C-
4022,Jacob Thomas,female,11/29/1996,Mr. Smith,18,6,8,58,35,33,73,92,42,59,10,43.23,D+
4023,Emily Durham,male,4/30/1999,Ms. Johnson,14,0,90,52,26,56,86,94,25,72,10,49.38,C-
4024,Deborah Johnson,male,06-08-09,Mr. Smith,85,46,28,2,17,43,69,89,87,8,40,52.38,C
4025,Brianna Smith,female,5/17/2009,Ms. Johnson,82,33,98,25,27,77,46,30,97,5,45,43.77,D+
4026,Donna Powell,male,06-01-07,Mr. Smith,96,85,40,28,11,14,45,30,54,98,5,52.77,C
4027,April Anderson,female,5/30/2004,Mr. Brown,60,37,91,86,54,97,57,80,5,5,5,54.54,C
4028,Gerald Fox MD,male,02-08-07,Mrs. Davis,19,68,83,49,42,83,10,61,39,85,75,50,C
4029,Danny Coleman,male,10-07-97,Mrs. Davis,82,24,75,21,51,30,46,9,33,64,30,44.62,D+
4030,Marvin Evans,female,4/20/2009,Ms. Johnson,99,98,55,82,36,52,95,56,57,51,15,59.69,B-
4031,Diana Kane,female,02-08-93,Mrs. Davis,30,51,41,91,11,18,39,20,31,49,60,38.92,D
4032,Andrea Oliver,female,2/18/2000,Mr. Brown,40,83,56,5,15,41,100,89,30,93,55,56.92,B-
4033,Desiree Cohen,male,03-09-94,Mr. Brown,51,87,74,27,7,39,11,57,40,38,75,45,C-
4034,Wendy Smith,female,06-12-98,Ms. Johnson,13,21,0,6,82,27,99,30,86,58,95,42.69,D+
4035,Frank Page,male,6/24/2001,Mrs. Davis,6,63,12,55,32,94,77,50,87,13,80,45.08,C-
4036,Stephanie Daniels,female,10/29/1993,Mr. Smith,19,36,98,36,95,28,76,34,79,45,25,44.08,D+
4037,Wendy Kelley,female,2/21/2008,Mr. Brown,78,84,45,10,8,9,94,61,70,19,45,47.31,C-
4038,Joseph Manning,male,5/15/1994,Mr. Smith,90,71,70,23,63,9,46,47,82,56,85,51.92,C
4039,Amanda Parks,female,03-03-09,Ms. Johnson,77,92,34,98,44,28,70,38,53,44,35,55.92,B-
4040,Amber Castillo,male,5/31/2004,Mr. Smith,11,69,29,23,48,67,53,7,42,38,85,43.23,D+
4041,Jay James,male,3/19/1990,Mr. Brown,76,28,51,31,25,52,27,67,67,87,40,52.15,C
4042,Jared Morales,female,9/17/1999,Mr. Smith,33,38,40,28,95,37,24,63,21,0,30,41,D+
4043,Christopher Lewis,male,02-11-94,Ms. Johnson,64,33,57,39,1,20,3,87,14,95,0,42.92,D+
4044,Jessica Moore,female,12/26/2007,Mr. Brown,65,65,87,59,41,32,79,33,69,49,60,55.23,B-
4045,Melissa Boyd,female,6/13/2008,Ms. Johnson,75,96,49,78,49,10,71,14,72,50,70,56.85,B-
4046,Brian Powell,male,05-06-04,Mr. Smith,31,9,49,46,47,57,6,13,99,40,100,38.38,D
4047,Steven Mitchell,female,12-09-08,Mrs. Davis,63,86,14,15,40,98,56,70,50,42,35,53.85,C
4048,Mr. Eric Lopez,male,06-05-09,Ms. Johnson,24,25,31,33,66,27,9,25,93,61,0,39.54,D
4049,Veronica Garza,female,03-12-99,Mr. Brown,62,7,32,63,51,55,84,56,67,56,90,61.15,B
4050,Juan Pope,female,01-04-00,Ms. Johnson,38,83,43,43,65,39,1,100,46,7,70,41.69,D+
4051,Suzanne Moss,female,01-01-97,Ms. Johnson,69,29,7,65,16,49,84,76,53,80,10,48.38,C-
4052,Tiffany Bishop,male,03-06-01,Mr. Smith,23,4,38,80,29,95,78,24,27,75,70,50.38,C
4053,Patricia Wilson,female,8/26/2001,Ms. Johnson,72,52,91,93,97,74,37,11,74,93,80,57.62,B-
4054,Terry Richard,male,12/30/2001,Mr. Smith,77,35,7,82,69,76,84,62,97,30,20,56.46,B-
4055,Michael Moses,male,12/26/1993,Mr. Brown,40,1,77,38,94,5,27,16,48,23,100,46,C-
4056,Thomas Smith,male,12-07-91,Ms. Johnson,31,70,85,89,70,25,30,69,81,27,70,53.31,C
4057,Amy Brooks,female,8/31/1993,Mr. Smith,100,62,90,25,92,68,80,21,9,22,65,55.54,B-
4058,Jeffrey Martin,female,8/22/1993,Mr. Smith,99,95,5,30,99,75,22,92,17,37,70,62.23,B
4059,Angela Mckee,male,08-02-93,Mr. Smith,89,36,31,63,76,37,3,45,5,38,80,41.08,D+
4060,Samantha Ellis,male,11-04-97,Mr. Brown,47,34,69,37,89,30,75,30,6,49,10,55,B-
4061,Melissa Sharp,female,6/28/2009,Ms. Johnson,38,6,37,36,85,62,32,7,75,83,40,47.23,C-
4062,Mary Sharp,male,3/18/2004,Ms. Johnson,17,33,41,31,71,26,95,55,46,89,0,51.85,C
4063,Mary Hoffman,female,2/24/1994,Ms. Johnson,61,63,7,20,81,32,2,95,69,78,65,53.38,C
4064,Kevin Cook,female,1/20/1991,Mr. Brown,99,29,0,41,8,22,88,48,45,23,80,43.77,D+
4065,Karen Myers,female,11/13/2002,Mr. Brown,8,94,29,38,5,75,53,48,96,44,90,46.92,C-
4066,Douglas Morgan,female,1/23/2003,Ms. Johnson,89,23,16,11,50,98,21,22,26,76,0,45.38,C-
4067,Jermaine Sims,male,7/21/1994,Mrs. Davis,2,93,9,33,81,47,12,0,98,95,45,42.62,D+
4068,Deborah Sherman,male,12-03-90,Ms. Johnson,22,36,99,22,58,96,68,57,1,77,40,55.85,B-
4069,Leonard Wood,male,12/24/2003,Ms. Johnson,49,51,59,23,4,82,94,30,51,86,10,48.92,C-
4070,Victoria Ward,male,02-06-08,Mrs. Davis,98,40,84,74,30,64,36,93,43,77,75,63.46,B
4071,Denise May,male,12-09-95,Mr. Smith,49,21,57,82,16,6,75,3,57,6,30,37.69,D
4072,Denise Rojas,male,02-09-05,Mrs. Davis,63,56,29,91,39,66,4,100,79,87,95,66.77,B
4073,Kathryn Mcdonald,male,04-12-08,Mr. Brown,26,32,26,10,70,8,38,49,4,79,5,43.92,D+
4074,Lisa Bryant,male,11/18/1990,Ms. Johnson,76,100,16,31,52,3,71,34,34,33,5,42.23,D+
4075,Raymond Mann,male,5/31/2009,Ms. Johnson,15,67,5,12,13,55,23,50,81,18,35,38.54,D
4076,Courtney Stark,male,07-06-92,Mr. Smith,7,1,34,55,65,7,62,100,51,88,100,45.69,C-
4077,Monica Lane,female,05-04-06,Ms. Johnson,32,30,65,96,0,45,12,26,26,56,55,40.69,D+
4078,Christopher Cunningham,female,05-02-91,Mr. Smith,61,36,36,47,44,13,78,64,95,54,85,47.85,C-
4079,Kathryn Brady,male,2/25/1991,Mr. Smith,30,2,10,86,4,90,79,27,79,82,20,40.08,D+
4080,Sharon Reynolds,male,03-03-97,Mr. Smith,50,14,16,53,74,10,85,4,74,24,5,37.62,D
4081,Paul Torres,female,05-01-95,Mrs. Davis,16,31,21,45,18,41,73,3,20,49,75,35.15,D
4082,Melanie Perry,male,5/30/2008,Mrs. Davis,25,18,34,2,33,50,33,3,85,81,90,38.85,D
4083,Dr. Katherine Garrett,female,08-04-95,Ms. Johnson,66,77,11,0,25,43,10,61,2,95,100,46.54,C-
4084,Kent Mendez,female,05-01-09,Mr. Brown,26,50,98,23,11,41,16,50,99,25,95,42.69,D+
4085,Jessica Phillips,female,10-01-02,Ms. Johnson,6,68,43,91,40,30,80,96,87,23,100,57.54,B-
4086,Melvin Potter MD,male,12-06-05,Mr. Smith,69,9,62,48,16,74,45,16,68,2,65,38.62,D
4087,Jonathon Yang,female,04-07-02,Ms. Johnson,18,67,50,5,46,18,98,76,2,47,65,49.23,C-
4088,Theresa Ray,male,2/13/1999,Mr. Smith,66,32,95,14,37,59,62,62,68,46,30,53.85,C
4089,Paige Davidson,female,09-10-10,Mr. Smith,22,90,7,62,11,82,65,44,59,14,20,47.69,C-
4090,Wayne Perez,male,8/30/2005,Mr. Smith,91,74,65,53,82,39,18,72,57,62,25,60.08,B
4091,Paige Ramirez,male,5/17/1998,Mr. Smith,62,40,49,47,55,41,4,99,17,45,20,40.54,D+
4092,Brian Fields,male,04-10-92,Mr. Smith,40,24,46,74,37,13,16,54,81,18,90,41.69,D+
4093,Tammy Chen,male,7/20/1999,Ms. Johnson,21,95,32,18,23,89,86,96,94,65,30,60,B
4094,Michael Garner,male,11/20/2001,Mrs. Davis,26,2,88,34,14,36,12,18,0,59,95,33.31,D-
4095,Craig Burke,male,11/19/1996,Mr. Smith,2,29,8,81,40,25,50,10,34,53,80,29,E
4096,James Robertson,male,5/30/2009,Mr. Brown,91,94,42,43,49,42,53,89,31,34,40,64.62,B
4097,Roger Sanders,male,09-12-92,Mrs. Davis,88,37,21,85,6,96,30,32,88,39,100,52.54,C
4098,Jeffrey Allen,male,6/30/1997,Mr. Smith,62,1,6,13,84,78,11,100,68,12,70,49.92,C-
4099,Kelly Buchanan,male,10-01-09,Mrs. Davis,16,87,43,73,61,92,23,56,77,80,0,49.23,C-
4100,Julie Butler,male,10/17/2006,Mr. Smith,3,23,3,27,13,14,84,93,20,64,75,33.46,D-
4101,Nathan King,male,05-11-04,Mr. Brown,29,35,12,52,17,59,59,77,25,64,40,40.08,D+
4102,Robert Stein,male,1/15/2004,Mrs. Davis,38,19,11,21,5,36,41,83,6,85,60,41.62,D+
4103,Lori Robinson,female,10/13/1990,Mrs. Davis,68,99,54,27,42,83,31,31,33,73,90,50.15,C
4104,Peter Dunn,male,2/19/1991,Ms. Johnson,81,35,0,21,21,21,8,94,93,93,60,48.85,C-
4105,Benjamin Cunningham,male,3/30/2006,Ms. Johnson,7,88,48,70,13,20,14,39,73,6,15,37.31,D
4106,Michaela Long,male,2/28/2004,Mrs. Davis,86,53,38,37,37,12,27,6,70,47,55,42.62,D+
4107,James Hayes,female,09-03-98,Mr. Brown,49,8,96,67,9,34,90,91,33,17,70,47.46,C-
4108,Rachel Stanley,male,09-10-91,Mr. Brown,41,39,14,5,99,7,51,25,60,56,60,43.62,D+
4109,Mitchell Stone,male,11/13/1992,Mr. Smith,41,41,0,82,13,57,72,38,4,19,35,37,D
4110,Michelle Arnold,female,10-05-09,Mr. Smith,23,34,52,60,4,90,12,83,52,49,40,51.31,C
4111,Kayla Hernandez,female,2/13/1990,Mrs. Davis,29,37,7,46,77,18,22,37,18,36,35,41.77,D+
4112,Joyce Hill,female,02-08-02,Mrs. Davis,77,92,61,25,20,15,43,66,81,68,65,45.85,C-
4113,John Osborn,male,5/21/2002,Mrs. Davis,69,70,91,0,13,32,92,78,16,77,5,50.62,C
4114,Michelle Lewis MD,female,4/21/1990,Mr. Brown,12,51,39,21,70,9,55,12,15,51,30,37,D
4115,Sara Jackson,male,10/23/1996,Mr. Smith,28,94,65,93,10,5,6,41,40,27,15,40.46,D+
4116,Martha Rivera,female,9/29/2008,Mr. Smith,74,27,75,91,45,82,100,69,63,77,40,68,B
4117,Ashley Gonzalez,female,04-09-04,Mr. Smith,71,36,70,53,26,68,17,0,93,20,70,43.85,D+
4118,Douglas Robinson,male,5/16/1993,Mr. Smith,77,86,77,5,74,51,4,22,23,33,15,46.54,C-
4119,Alejandro Abbott,female,11-07-91,Mrs. Davis,16,75,30,36,92,31,86,56,55,48,60,52.77,C
4120,Cody Mclaughlin,female,10-07-93,Ms. Johnson,16,32,46,91,99,41,31,18,55,76,80,46.15,C-
4121,James Valentine,male,04-02-92,Mr. Brown,55,55,0,85,41,42,3,60,45,19,55,45.69,C-
4122,Brittany Mendoza,male,04-04-06,Mr. Brown,78,26,55,44,95,70,67,30,59,26,20,56.08,B-
4123,Brian Thomas,male,11-04-05,Mr. Smith,3,54,1,99,18,94,32,54,47,40,30,45.77,C-
4124,Paul Williams,female,02-06-05,Mr. Smith,18,29,19,76,33,70,40,38,79,8,35,44.15,D+
4125,Miguel Allen MD,female,7/28/1999,Mr. Brown,44,0,61,28,33,3,10,84,0,67,25,34.23,D-
4126,Edward Garza,male,9/20/2004,Ms. Johnson,66,71,67,74,60,8,5,56,59,76,10,52.46,C
4127,Dustin Noble,male,05-12-05,Mrs. Davis,52,48,57,88,18,40,39,16,39,55,95,50.23,C
4128,Jeffrey Wilson,female,11-01-97,Mr. Brown,51,69,53,83,99,88,19,73,76,12,60,59,B-
4129,Regina Davis,female,10-02-10,Mrs. Davis,24,61,66,57,85,28,4,100,11,22,50,44.31,D+
4130,Michael Hamilton,male,11/23/1997,Mrs. Davis,64,76,7,86,61,21,36,42,31,68,35,45,C-
4131,Fernando Scott,male,08-10-01,Mrs. Davis,57,55,18,64,48,45,7,61,78,48,80,44.92,D+
4132,Regina Young,male,2/18/2001,Mr. Smith,97,59,95,43,36,99,25,84,35,100,100,66.23,B
4133,Edward Barnes,male,10/13/1990,Mr. Brown,37,14,24,72,98,90,63,12,3,60,40,41.69,D+
4134,Andrew Flores,female,3/26/1990,Ms. Johnson,71,91,95,61,83,11,69,23,15,14,55,45.54,C-
4135,Jerry Hays,male,2/19/2008,Ms. Johnson,14,21,73,60,54,13,14,35,30,57,15,42.08,D+
4136,Jamie Walton,female,07-03-03,Ms. Johnson,22,74,44,77,5,50,72,2,71,64,5,48.08,C-
